Регион;Год;Прибыло;Выбыло;Миграционное сальдо;Тип;Численность постоянного населения на 1 января;Ожидаемая продолжительность жизни при рождении;Суммарный коэффициент рождаемости (всего);Суммарный коэффициент рождаемости вторых детей;Суммарный коэффициент рождаемости третьих и последующих детей;Суммарный коэффициент рождаемости первых детей;Доля городского населения в общей численности населения на 1 января;Уровень безработицы (по методологии МОТ);Денежные расходы домашних хозяйств;Натуральный доход домашних хозяйств;Располагаемые ресурсы домашних хозяйств;Сумма сделанных сбережений домашних хозяйств;Реальная начисленная заработная плата, % к предыдущему году;Структура денежных доходов: Доходы от предпринимательской деятельности;Структура денежных доходов: Доходы от собственности;Структура денежных доходов: Другие доходы;Структура денежных доходов: Оплата труда;Структура денежных доходов: Социальные трансферты;Структура расходов: Оплата услуг;Структура расходов: Покупка алкогольных напитков;Структура расходов: Покупка непродовольственных товаров;Структура расходов: Покупка продуктов питания;Структура расходов: Стоимость услуг, оказанных работодателем бесплатно или по льготным ценам;Уровень бедности, %;Доля населения с доходами ниже ПМ, %;Введено в действие жилой площади, тыс. кв. м;Доля домохозяйств с широкополосным доступом к Интернету, %;Общая площадь жилых помещений на 1 жителя, кв. м;Число семей, нуждающихся в жилом помещении, тыс.;Сведения о задолженности по кредитам: Жилищные кредиты;Сведения о задолженности по кредитам: Ипотечные жилищные кредиты;Сведения о задолженности по кредитам: По кредитам всего;Сведения о задолженности по кредитам: в том числе: просроченная задолженность по ипотечным кредитам;ВРП на душу населения, руб.;Индекс физического объема ВРП на душу населения, %;Индекс физического объема оборота розничной торговли, %;Индекс физического объема платных услуг населению, %;Индекс изменения стоимости фиксированного набора, %;Индекс потребительских цен (декабрь к декабрю), %;Индекс цен на первичном рынке жилья, %;Стоимость фиксированного набора потребительских товаров и услуг, ₽;Валовой коэффициент охвата дошкольным образованием, %;Обеспеченность местами в ДОУ (на 1000 детей);Мощность амбулаторно-поликлинических организаций, посещений в смену;Обеспеченность больничными койками (на 10 тыс. населения);Численность инвалидов, тыс. человек;Численность врачей, чел.;Число больничных коек, ед.;Число посещений врачей, всего;Число абортов, всего;Число зарегистрированных заболеваний: COVID-19;Число зарегистрированных заболеваний: Болезни глаза и придаточного аппарата;Число зарегистрированных заболеваний: Болезни кожи и подкожной клетчатки;Число зарегистрированных заболеваний: Болезни костно-мышечной системы и соединительной ткани;Число зарегистрированных заболеваний: Болезни крови и кроветворных органов;Число зарегистрированных заболеваний: Болезни мочеполовой системы;Число зарегистрированных заболеваний: Болезни нервной системы;Число зарегистрированных заболеваний: Болезни органов дыхания;Число зарегистрированных заболеваний: Болезни органов пищеварения;Число зарегистрированных заболеваний: Болезни системы кровообращения;Число зарегистрированных заболеваний: Болезни уха и сосцевидного отростка;Число зарегистрированных заболеваний: Болезни эндокринной системы, расстройства питания, нарушения обмена веществ и иммунитета;Число зарегистрированных заболеваний: Всего заболеваний;Число зарегистрированных заболеваний: Некоторые инфекционные и паразитарные болезни;Число зарегистрированных заболеваний: Новообразования;Число зарегистрированных заболеваний: Осложнения беременности, родов и послеродового периода;Число зарегистрированных заболеваний: Психические расстройства и расстройства поведения;Число зарегистрированных заболеваний: Симптомы, признаки и отклонения от нормы, выявленные при клинических и лабораторных исследованиях, не классифицированные в других рубриках;Число зарегистрированных заболеваний: Состояния, возникающие в перинатальном периоде
Курская область;1990;;;;Субъект РФ;1332957;69;1.848;;;;58.4;;;;;;;;;;;;;;;;;;;449.9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Курская область;1991;;;;Субъект РФ;1328929;68.3;1.672;;;;58.91;;;;;;;;;;;;;;;;;;;298.7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Курская область;1992;;;;Субъект РФ;1325156;68.1;1.54;;;;59.21;;;;;;;;;;;;;;;;;;;321.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Курская область;1993;35179;21864;13315;Субъект РФ;1328161;66.3;1.423;;;;59.01;;;;;;;;;;;;;;;;;;;267.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Курская область;1994;41946;25315;16631;Субъект РФ;1329266;64.9;1.448;;;;59.11;;;;;;;;;;;;;;;;;;;369.9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Курская область;1995;37437;27176;10261;Субъект РФ;1331632;66;1.335;;;;59.23;;;;;;;;;;;;;;;;;;19.9;291.5;;;;;;;;;;;96.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Курская область;1996;31683;;;Субъект РФ;1325420;66;1.307;;;;59.38;;;;;;;;;;;;;;;;;;24.9;253.4;;;;;;;;9158;;;98.9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Курская область;1997;28246;23151;5095;Субъект РФ;1317566;66.8;1.232;;;;59.66;;;;;;;;;;;;;;;;;;22.1;161;;;;;;;;10286.3;;;98.7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Курская область;1998;24637;22321;2316;Субъект РФ;1307963;66.9;1.239;;;;59.96;;;;;;;;;;;;;;;;;;25.1;222.9;;;;;;;;11909.9;;;82.4;;;;;;;;;85;;;;;;;;;;;;;;;;;;;;;;;
Курская область;1999;20968;19835;1133;Субъект РФ;1296206;65.7;1.186;;;;60.26;;;;;;;;;;;;;;;;;;36.6;237.7;;;64.5;;;;;17093.8;;;105.6;;;;;;;;;85;;;;;;;;;;;;;;;;;;;;;;;
Курская область;2000;19165;18593;572;Субъект РФ;1281733;65.3;1.222;;;;60.51;;;;;;;15.1;4;25.1;37.2;18.6;;;;;;;42.2;175.7;;;63497;;;;;23677.7;;101.4;93.3;;;;;;;;;86;;;;;;;;;;;;;;;;;;;;;;;
Курская область;2001;15219;16550;-1331;Субъект РФ;1266467;65.5;1.23;;;;60.78;;;;;;;36.6;2;27.1;13.8;20.4;;;;;;;39.5;192.7;;;62512;;;;;28946.1;;102.5;103.6;;;;;;;;;87;;;;;;;;;;;;;;;;;;;;;;;
Курская область;2002;13076;15231;-2155;Субъект РФ;1248588;64.9;1.228;;;;61.06;;;;;;;12.6;2.2;26.3;38.5;20.4;;;;;;;33.7;191.6;;;61644;;;;;36545.7;;103.2;98.4;117.55;;;2805.92;;;;;92;;;;;;;;;;;;;;;;;;;;;;;
Курская область;2003;11017;14599;-3582;Субъект РФ;1231097;65;1.264;;;;61.35;;;;;;;14.1;2.3;22.1;41.1;20.4;;;;;;;30.7;275.9;;;58912;;;;;46131.2;;111;112.9;122.79;;;3445.45;;;;;90;;;;;;;;;;;;;;;;;;;;;;;
Курская область;2004;12560;15511;-2951;Субъект РФ;1213372;65;1.276;;;;61.7;;;;;;;14.7;3.1;23;41;18.2;;;;;;;24.9;285.6;;;58450;;;;;63512.1;;119.7;117.7;112.24;;;3867.17;;;25.4;;96;5782;;;;;;;;;;;;;;;;;;;;;;
Курская область;2005;12224;14273;-2049;Субъект РФ;1195812;65;1.215;;;;62;;;;;;;16.2;3.2;23;37.8;19.8;;;;;;;20.2;297.5;;;25893;;;;;72995.3;106.1;111;119.5;110.8;;;4284.98;;425;26.7;91.7;104;5891;10853;;;;;;;;;;;;;;;;;;;;;
Курская область;2006;13277;14566;-1289;Субъект РФ;1177627;66.1;1.258;;;;62.6;;;;;;;16.3;3;26.5;36.4;17.8;;;;;;;15.3;326.7;;;20583;;;;;88949.4;106.7;123.6;116.5;107.06;;;4587.34;;430;27.8;90.6;121;5905;10611;;;;;;;;;;;;;;;;;;;;;
Курская область;2007;16391;15361;1030;Субъект РФ;1161582;66.7;1.41;;;;63.1;;;;;;;15.3;2.6;29.5;36.4;16.2;;;;;;;12.5;375.8;;;20890;;;;;111348.4;110.5;118.6;107.5;118.18;;;5421.38;;440;28.1;90.2;125;6112;10482;;;;;;;;;;;;;;;;;;;;;
Курская область;2008;17895;16148;1747;Субъект РФ;1151857;66.9;1.5;;;;63.7;;;;;;;15.2;1.8;30.4;36.1;16.5;;;;;;;11.1;447.1;;25.1;21523;;;;;146276.4;104.9;107.4;105.4;117.8;;;6386.41;;440;28;88.5;125;6267;10220;12502379;;;;;;;;;;;;;;;;;;;;
Курская область;2009;15133;14166;967;Субъект РФ;1143329;68.1;1.51;;;;64.2;;;;;;;14;2;32.4;33.4;18.2;;;;;;;11.7;456.15;;25.7;21441;;;;;141833.5;96.7;95.4;95.6;109.58;;;6998;;436;28.2;86.7;125;6198;9835;11741955;;;;;;;;;;;;;;;;;;;;
