region,year,rural_population_start,rural_population_end,rural_births,rural_deaths,rural_natural_increase,arrivals_total,departures_total,migration_net_total
Алтайский край,2018,1023682.0,1010199.0,,,-13483.0,79408.0,,-7411.0
Алтайский край,2019,1010199.0,997589.0,,,-12610.0,79649.0,,-4151.0
Алтайский край,2020,997589.0,983360.0,,,-14229.0,65449.0,,-2416.0
Алтайский край,2021,983360.0,965585.0,,,-17775.0,66800.0,,-3513.0
Алтайский край,2022,899973.0,888222.0,,,-11751.0,63552.0,,-7780.0
Алтайский край,2023,888222.0,878184.0,,,-10038.0,60153.0,61863.0,-1710.0
Амурская область,2018,260540.0,257619.0,,,-2921.0,29396.0,,-3392.0
Амурская область,2019,257619.0,254893.0,,,-2726.0,29604.0,,12.0
Амурская область,2020,254893.0,251381.0,,,-3512.0,24956.0,,-3144.0
Амурская область,2021,251381.0,246826.0,,,-4555.0,22027.0,,-2344.0
Амурская область,2022,243072.0,239145.0,,,-3927.0,24593.0,,-3064.0
Амурская область,2023,239145.0,236127.0,,,-3018.0,19777.0,22202.0,-2425.0
Архангельская область,2018,254066.0,248051.0,,,-6015.0,43893.0,,-7093.0
Архангельская область,2019,248051.0,243229.0,,,-4822.0,42400.0,,-2992.0
Архангельская область,2020,243229.0,238155.0,,,-5074.0,34546.0,,-2054.0
Архангельская область,2021,238155.0,238682.0,,,527.0,36599.0,,-1941.0
Архангельская область,2022,228981.0,224243.0,,,-4738.0,35516.0,,-2845.0
Архангельская область,2023,224243.0,219945.0,,,-4298.0,36760.0,38024.0,-1264.0
Архангельская область без Ненецкого автономного округа,2018,242118.0,236330.0,,,-5788.0,,,
Архангельская область без Ненецкого автономного округа,2019,236330.0,231656.0,,,-4674.0,,,
Архангельская область без Ненецкого автономного округа,2020,231656.0,226714.0,,,-4942.0,,,
Архангельская область без Ненецкого автономного округа,2021,226714.0,227400.0,,,686.0,,,
Архангельская область без Ненецкого автономного округа,2022,218293.0,213692.0,,,-4601.0,,,
Архангельская область без Ненецкого автономного округа,2023,213692.0,209303.0,,,-4389.0,,,
Архангельская область без автономного округа,2018,,,,,,41471.0,,-6701.0
Архангельская область без автономного округа,2019,,,,,,39923.0,,-3069.0
Архангельская область без автономного округа,2020,,,,,,32369.0,,-2183.0
Архангельская область без автономного округа,2021,,,,,,34462.0,,-2077.0
Архангельская область без автономного округа,2022,,,,,,33332.0,,-2764.0
Архангельская область без автономного округа,2023,,,,,,33916.0,35951.0,-2035.0
Астраханская область,2018,339443.0,337005.0,,,-2438.0,28158.0,,-3496.0
Астраханская область,2019,337005.0,334802.0,,,-2203.0,22487.0,,-7838.0
Астраханская область,2020,334802.0,333568.0,,,-1234.0,17852.0,,-5123.0
Астраханская область,2021,333568.0,333036.0,,,-532.0,19205.0,,-2758.0
Астраханская область,2022,342014.0,341604.0,,,-410.0,17988.0,,-4770.0
Астраханская область,2023,341604.0,341722.0,,,118.0,18028.0,20383.0,-2355.0
Белгородская область,2018,505366.0,503626.0,,,-1740.0,60032.0,,4123.0
Белгородская область,2019,503626.0,503633.0,,,7.0,61518.0,,9212.0
Белгородская область,2020,503633.0,499949.0,,,-3684.0,50335.0,,4229.0
Белгородская область,2021,499949.0,494519.0,,,-5430.0,46566.0,,6436.0
Белгородская область,2022,533118.0,524711.0,,,-8407.0,40833.0,,-11116.0
Белгородская область,2023,524711.0,520416.0,,,-4295.0,47525.0,51174.0,-3649.0
Брянская область,2018,360045.0,355035.0,,,-5010.0,38300.0,,-3651.0
Брянская область,2019,355035.0,352669.0,,,-2366.0,36709.0,,-37.0
Брянская область,2020,352669.0,349485.0,,,-3184.0,32817.0,,1273.0
Брянская область,2021,349485.0,343716.0,,,-5769.0,31287.0,,905.0
Брянская область,2022,354995.0,350129.0,,,-4866.0,29411.0,,-2304.0
Брянская область,2023,350129.0,346167.0,,,-3962.0,26660.0,28248.0,-1588.0
Владимирская область,2018,301048.0,296968.0,,,-4080.0,36706.0,,-3259.0
Владимирская область,2019,296968.0,295549.0,,,-1419.0,38604.0,,2693.0
Владимирская область,2020,295549.0,292865.0,,,-2684.0,29109.0,,-1594.0
Владимирская область,2021,292865.0,288969.0,,,-3896.0,30695.0,,474.0
Владимирская область,2022,300569.0,296329.0,,,-4240.0,30996.0,,-3054.0
Владимирская область,2023,296329.0,293527.0,,,-2802.0,27489.0,31077.0,-3588.0
Волгоградская область,2018,581035.0,573768.0,,,-7267.0,68684.0,,-3767.0
Волгоградская область,2019,573768.0,565821.0,,,-7947.0,61380.0,,-4684.0
Волгоградская область,2020,565821.0,558769.0,,,-7052.0,59782.0,,3682.0
Волгоградская область,2021,558769.0,547954.0,,,-10815.0,57650.0,,2310.0
Волгоградская область,2022,561577.0,553757.0,,,-7820.0,56418.0,,-6191.0
Волгоградская область,2023,553757.0,547697.0,,,-6060.0,55248.0,56576.0,-1328.0
Вологодская область,2018,325129.0,320042.0,,,-5087.0,30530.0,,-4445.0
Вологодская область,2019,320042.0,317404.0,,,-2638.0,28070.0,,-2074.0
Вологодская область,2020,317404.0,313822.0,,,-3582.0,23325.0,,-1967.0
Вологодская область,2021,313822.0,309105.0,,,-4717.0,23295.0,,-885.0
Вологодская область,2022,313443.0,310147.0,,,-3296.0,19910.0,,-2492.0
Вологодская область,2023,310147.0,306514.0,,,-3633.0,19277.0,20075.0,-798.0
Воронежская область,2018,757394.0,749215.0,,,-8179.0,87364.0,,6863.0
Воронежская область,2019,749215.0,744790.0,,,-4425.0,85771.0,,9690.0
Воронежская область,2020,744790.0,738562.0,,,-6228.0,68370.0,,866.0
Воронежская область,2021,738562.0,729561.0,,,-9001.0,65639.0,,10062.0
Воронежская область,2022,725117.0,719529.0,,,-5588.0,63704.0,,625.0
Воронежская область,2023,719529.0,716808.0,,,-2721.0,53580.0,49188.0,4392.0
Еврейская автономная область,2018,50599.0,49852.0,,,-747.0,3521.0,,-1778.0
Еврейская автономная область,2019,49852.0,49624.0,,,-228.0,4281.0,,-1026.0
Еврейская автономная область,2020,49624.0,49627.0,,,3.0,3527.0,,-895.0
Еврейская автономная область,2021,49627.0,49038.0,,,-589.0,3536.0,,-1410.0
Еврейская автономная область,2022,43703.0,43031.0,,,-672.0,3650.0,,-1287.0
Еврейская автономная область,2023,43031.0,42507.0,,,-524.0,3261.0,4160.0,-899.0
Забайкальский край,2018,340891.0,336535.0,,,-4356.0,29262.0,,-7421.0
Забайкальский край,2019,336535.0,337159.0,,,624.0,29083.0,,-5489.0
Забайкальский край,2020,337159.0,333445.0,,,-3714.0,24882.0,,-4090.0
Забайкальский край,2021,333445.0,326810.0,,,-6635.0,24225.0,,-5490.0
Забайкальский край,2022,307648.0,302468.0,,,-5180.0,23283.0,,-5472.0
Забайкальский край,2023,302468.0,297268.0,,,-5200.0,21613.0,26515.0,-4902.0
Ивановская область,2018,187919.0,184717.0,,,-3202.0,28667.0,,-3357.0
Ивановская область,2019,184717.0,182357.0,,,-2360.0,30819.0,,816.0
Ивановская область,2020,182357.0,179668.0,,,-2689.0,26408.0,,20.0
Ивановская область,2021,179668.0,176956.0,,,-2712.0,27887.0,,2680.0
Ивановская область,2022,166762.0,164000.0,,,-2762.0,26404.0,,-386.0
Ивановская область,2023,164000.0,161977.0,,,-2023.0,24096.0,24868.0,-772.0
Иркутская область,2018,510142.0,509739.0,,,-403.0,68130.0,,-5910.0
Иркутская область,2019,509739.0,524313.0,,,14574.0,59050.0,,-3275.0
Иркутская область,2020,524313.0,523825.0,,,-488.0,49222.0,,-7069.0
Иркутская область,2021,523825.0,519559.0,,,-4266.0,49305.0,,-2178.0
Иркутская область,2022,528933.0,527161.0,,,-1772.0,48710.0,,-10439.0
Иркутская область,2023,527161.0,526487.0,,,-674.0,46005.0,52056.0,-6051.0
Кабардино-Балкарская Республика,2018,414490.0,415217.0,,,727.0,11606.0,,-3368.0
Кабардино-Балкарская Республика,2019,415217.0,416257.0,,,1040.0,12705.0,,-573.0
Кабардино-Балкарская Республика,2020,416257.0,417117.0,,,860.0,11204.0,,-876.0
Кабардино-Балкарская Республика,2021,417117.0,417829.0,,,712.0,10324.0,,250.0
Кабардино-Балкарская Республика,2022,434893.0,435622.0,,,729.0,10901.0,,-3253.0
Кабардино-Балкарская Республика,2023,435622.0,437215.0,,,1593.0,10551.0,11485.0,-934.0
Калининградская область,2018,219477.0,223135.0,,,3658.0,47266.0,,9467.0
Калининградская область,2019,223135.0,226199.0,,,3064.0,53270.0,,12969.0
Калининградская область,2020,226199.0,226554.0,,,355.0,47432.0,,10681.0
Калининградская область,2021,226554.0,228616.0,,,2062.0,52778.0,,16080.0
Калининградская область,2022,239619.0,241413.0,,,1794.0,46391.0,,6241.0
Калининградская область,2023,241413.0,242685.0,,,1272.0,42216.0,35989.0,6227.0
Калужская область,2018,242894.0,242617.0,,,-277.0,44927.0,,1936.0
Калужская область,2019,242617.0,242055.0,,,-562.0,35934.0,,-1073.0
Калужская область,2020,242055.0,242217.0,,,162.0,39593.0,,6861.0
Калужская область,2021,242217.0,244171.0,,,1954.0,58255.0,,22652.0
Калужская область,2022,267934.0,269276.0,,,1342.0,55782.0,,4428.0
Калужская область,2023,269276.0,268940.0,,,-336.0,47660.0,44212.0,3448.0
Камчатский край,2018,68724.0,67962.0,,,-762.0,14837.0,,-702.0
Камчатский край,2019,67962.0,67409.0,,,-553.0,14192.0,,-1568.0
Камчатский край,2020,67409.0,66479.0,,,-930.0,13430.0,,-117.0
Камчатский край,2021,66479.0,65825.0,,,-654.0,14410.0,,2429.0
Камчатский край,2022,64546.0,63624.0,,,-922.0,12950.0,,-2963.0
Камчатский край,2023,63624.0,63022.0,,,-602.0,13245.0,12558.0,687.0
Карачаево-Черкесская Республика,2018,267082.0,266098.0,,,-984.0,10400.0,,-1559.0
Карачаево-Черкесская Республика,2019,266098.0,265897.0,,,-201.0,11328.0,,-866.0
Карачаево-Черкесская Республика,2020,265897.0,265712.0,,,-185.0,10934.0,,-236.0
Карачаево-Черкесская Республика,2021,265712.0,265045.0,,,-667.0,11987.0,,40.0
Карачаево-Черкесская Республика,2022,275180.0,274642.0,,,-538.0,11462.0,,-639.0
Карачаево-Черкесская Республика,2023,274642.0,274374.0,,,-268.0,11395.0,11998.0,-603.0
Кемеровская область,2018,378171.0,373345.0,,,-4826.0,74502.0,,-8413.0
Кемеровская область,2019,373345.0,370617.0,,,-2728.0,70729.0,,-2509.0
Кемеровская область,2020,370617.0,366997.0,,,-3620.0,60424.0,,-3754.0
Кемеровская область,2021,366997.0,362522.0,,,-4475.0,59504.0,,-3187.0
Кемеровская область,2022,349215.0,346044.0,,,-3171.0,59478.0,,-5176.0
Кемеровская область,2023,346044.0,342713.0,,,-3331.0,53753.0,57243.0,-3490.0
Кировская область,2018,298058.0,288799.0,,,-9259.0,49910.0,,-4705.0
Кировская область,2019,288799.0,280783.0,,,-8016.0,48157.0,,-2781.0
Кировская область,2020,280783.0,272610.0,,,-8173.0,41712.0,,-1537.0
Кировская область,2021,272610.0,263630.0,,,-8980.0,42213.0,,-1359.0
Кировская область,2022,253522.0,246683.0,,,-6839.0,42400.0,,-1050.0
Кировская область,2023,246683.0,240738.0,,,-5945.0,42456.0,41979.0,477.0
Костромская область,2018,178847.0,175739.0,,,-3108.0,23998.0,,-2777.0
Костромская область,2019,175739.0,172691.0,,,-3048.0,24190.0,,-306.0
Костромская область,2020,172691.0,169360.0,,,-3331.0,21591.0,,265.0
Костромская область,2021,169360.0,165230.0,,,-4130.0,18768.0,,28.0
Костромская область,2022,151450.0,148155.0,,,-3295.0,17134.0,,-799.0
Костромская область,2023,148155.0,144408.0,,,-3747.0,15242.0,16505.0,-1263.0
Краснодарский край,2018,2528252.0,2531790.0,,,3538.0,200628.0,,47570.0
Краснодарский край,2019,2531790.0,2533953.0,,,2163.0,183794.0,,35952.0
Краснодарский край,2020,2533953.0,2524593.0,,,-9360.0,168401.0,,33511.0
Краснодарский край,2021,2524593.0,2507532.0,,,-17061.0,176448.0,,40643.0
Краснодарский край,2022,2509723.0,2494525.0,,,-15198.0,155767.0,,11892.0
Краснодарский край,2023,2494525.0,2491777.0,,,-2748.0,165994.0,133498.0,32496.0
Красноярский край,2018,650380.0,645046.0,,,-5334.0,130994.0,,-278.0
Красноярский край,2019,645046.0,644028.0,,,-1018.0,119790.0,,-2778.0
Красноярский край,2020,644028.0,638845.0,,,-5183.0,115433.0,,1842.0
Красноярский край,2021,638845.0,629810.0,,,-9035.0,128021.0,,11896.0
Красноярский край,2022,587858.0,580837.0,,,-7021.0,129083.0,,999.0
Красноярский край,2023,580837.0,575868.0,,,-4969.0,129292.0,119636.0,9656.0
Курганская область,2018,322709.0,316194.0,,,-6515.0,29635.0,,-6488.0
Курганская область,2019,316194.0,312704.0,,,-3490.0,29829.0,,-2527.0
Курганская область,2020,312704.0,308472.0,,,-4232.0,28862.0,,-1636.0
Курганская область,2021,308472.0,301938.0,,,-6534.0,26408.0,,-3682.0
Курганская область,2022,278100.0,272576.0,,,-5524.0,25067.0,,-4461.0
Курганская область,2023,272576.0,268183.0,,,-4393.0,23816.0,25977.0,-2161.0
Курская область,2018,358357.0,352122.0,,,-6235.0,42892.0,,-1296.0
Курская область,2019,352122.0,347544.0,,,-4578.0,45278.0,,4283.0
Курская область,2020,347544.0,343740.0,,,-3804.0,35056.0,,2930.0
Курская область,2021,343740.0,338229.0,,,-5511.0,31727.0,,1698.0
Курская область,2022,339962.0,336265.0,,,-3697.0,31485.0,,-1707.0
Курская область,2023,336265.0,331395.0,,,-4870.0,30331.0,28640.0,1691.0
Ленинградская область,2018,656730.0,659012.0,,,2282.0,124177.0,,43741.0
