region,year,invest_total_mln_rub,sports_facilities_count,sports_facilities_per_10k_rural_pop,sports_schools_count,retail_shops_count,retail_shops_per_10k_rural_pop,catering_units_count,catering_units_per_10k_rural_pop,service_units_count,service_units_per_10k_rural_pop,household_service_points_count,household_service_points_per_10k_rural_pop,post_offices_count,post_offices_per_10k_rural_pop,housing_input_total_thousand_m2,housing_input_individual_share_percent,waste_removal_objects_count,container_sites_count,length_streets_total_km,length_streets_hard_surface_km,length_local_roads_km,length_hard_surface_roads_km,natural_resource_enterprises_count,natural_resource_enterprises_per_10k_rural_pop,fixed_assets_total_mln_rub,fixed_assets_per_capita_rub,housing_stock_total,housing_stock_per_capita,infrastructure_stock_total,infrastructure_stock_per_capita,health_facilities_count,health_facilities_per_10k_rural_pop,tourist_beds_count,tourist_beds_per_10k_rural_pop
01000000000 - Алтайский край,2023,,,,,,,,,,,,,,,,,,,,,,,375.0,92.0,,,,,,,,,,
03000000000 - Краснодарский край,2023,,,,,,,,,,,,,,,,,,,,,,,746.0,714.0,,,,,,,,,,
04000000000 - Красноярский край,2023,,,,,,,,,,,,,,,,,,,,,,,355.0,228.0,,,,,,,,,,
05000000000 - Приморский край,2023,,,,,,,,,,,,,,,,,,,,,,,99.0,71.0,,,,,,,,,,
08000000000 - Хабаровский край,2023,,,,,,,,,,,,,,,,,,,,,,,194.0,129.0,,,,,,,,,,
10000000000 - Амурская область,2023,,,,,,,,,,,,,,,,,,,,,,,74.0,12.0,,,,,,,,,,
11000000000 - Архангельская область,2023,,,,,,,,,,,,,,,,,,,,,,,43.0,13.0,,,,,,,,,,
11001000000 - Архангельская область (кроме Ненецкого автономного округа),2023,,,,,,,,,,,,,,,,,,,,,,,25.0,2.0,,,,,,,,,,
11100000000 - Ненецкий автономный округ (Архангельская область),2023,,,,,,,,,,,,,,,,,,,,,,,18.0,11.0,,,,,,,,,,
12000000000 - Астраханская область,2023,,,,,,,,,,,,,,,,,,,,,,,161.0,29.0,,,,,,,,,,
14000000000 - Белгородская область,2023,,,,,,,,,,,,,,,,,,,,,,,222.0,110.0,,,,,,,,,,
15000000000 - Брянская область,2023,,,,,,,,,,,,,,,,,,,,,,,165.0,60.0,,,,,,,,,,
17000000000 - Владимирская область,2023,,,,,,,,,,,,,,,,,,,,,,,132.0,90.0,,,,,,,,,,
18000000000 - Волгоградская область,2023,,,,,,,,,,,,,,,,,,,,,,,279.0,84.0,,,,,,,,,,
19000000000 - Вологодская область,2023,,,,,,,,,,,,,,,,,,,,,,,43.0,18.0,,,,,,,,,,
20000000000 - Воронежская область,2023,,,,,,,,,,,,,,,,,,,,,,,327.0,81.0,,,,,,,,,,
24000000000 - Ивановская область,2023,,,,,,,,,,,,,,,,,,,,,,,98.0,58.0,,,,,,,,,,
25000000000 - Иркутская область,2023,,,,,,,,,,,,,,,,,,,,,,,404.0,290.0,,,,,,,,,,
26000000000 - Республика Ингушетия,2023,,,,,,,,,,,,,,,,,,,,,,,46.0,38.0,,,,,,,,,,
28000000000 - Тверская область,2023,,,,,,,,,,,,,,,,,,,,,,,72.0,50.0,,,,,,,,,,
29000000000 - Калужская область,2023,,,,,,,,,,,,,,,,,,,,,,,131.0,53.0,,,,,,,,,,
30000000000 - Камчатский край,2023,,,,,,,,,,,,,,,,,,,,,,,57.0,36.0,,,,,,,,,,
32000000000 - Кемеровская область - Кузбасс,2023,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,
33000000000 - Кировская область,2023,,,,,,,,,,,,,,,,,,,,,,,177.0,64.0,,,,,,,,,,
34000000000 - Костромская область,2023,,,,,,,,,,,,,,,,,,,,,,,150.0,66.0,,,,,,,,,,
35000000000 - Республика Крым,2023,,,,,,,,,,,,,,,,,,,,,,,292.0,203.0,,,,,,,,,,
36000000000 - Самарская область,2023,,,,,,,,,,,,,,,,,,,,,,,128.0,4.0,,,,,,,,,,
37000000000 - Курганская область,2023,,,,,,,,,,,,,,,,,,,,,,,24.0,,,,,,,,,,,
38000000000 - Курская область,2023,,,,,,,,,,,,,,,,,,,,,,,125.0,82.0,,,,,,,,,,
41000000000 - Ленинградская область,2023,,,,,,,,,,,,,,,,,,,,,,,168.0,85.0,,,,,,,,,,
42000000000 - Липецкая область,2023,,,,,,,,,,,,,,,,,,,,,,,267.0,152.0,,,,,,,,,,
47000000000 - Мурманская область,2023,,,,,,,,,,,,,,,,,,,,,,,13.0,9.0,,,,,,,,,,
49000000000 - Новгородская область,2023,,,,,,,,,,,,,,,,,,,,,,,48.0,16.0,,,,,,,,,,
50000000000 - Новосибирская область,2023,,,,,,,,,,,,,,,,,,,,,,,490.0,174.0,,,,,,,,,,
52000000000 - Омская область,2023,,,,,,,,,,,,,,,,,,,,,,,441.0,179.0,,,,,,,,,,
53000000000 - Оренбургская область,2023,,,,,,,,,,,,,,,,,,,,,,,459.0,258.0,,,,,,,,,,
54000000000 - Орловская область,2023,,,,,,,,,,,,,,,,,,,,,,,106.0,23.0,,,,,,,,,,
56000000000 - Пензенская область,2023,,,,,,,,,,,,,,,,,,,,,,,72.0,43.0,,,,,,,,,,
58000000000 - Псковская область,2023,,,,,,,,,,,,,,,,,,,,,,,21.0,2.0,,,,,,,,,,
60000000000 - Ростовская область,2023,,,,,,,,,,,,,,,,,,,,,,,740.0,617.0,,,,,,,,,,
61000000000 - Рязанская область,2023,,,,,,,,,,,,,,,,,,,,,,,161.0,87.0,,,,,,,,,,
63000000000 - Саратовская область,2023,,,,,,,,,,,,,,,,,,,,,,,349.0,212.0,,,,,,,,,,
65000000000 - Свердловская область,2023,,,,,,,,,,,,,,,,,,,,,,,55.0,46.0,,,,,,,,,,
66000000000 - Смоленская область,2023,,,,,,,,,,,,,,,,,,,,,,,134.0,58.0,,,,,,,,,,
68000000000 - Тамбовская область,2023,,,,,,,,,,,,,,,,,,,,,,,241.0,30.0,,,,,,,,,,
69000000000 - Томская область,2023,,,,,,,,,,,,,,,,,,,,,,,200.0,66.0,,,,,,,,,,
70000000000 - Тульская область,2023,,,,,,,,,,,,,,,,,,,,,,,117.0,42.0,,,,,,,,,,
71000000000 - Тюменская область,2023,,,,,,,,,,,,,,,,,,,,,,,252.0,52.0,,,,,,,,,,
71001000000 - Тюменская область (кроме Ханты-Мансийского автономного округа-Югры и Ямало-Ненецкого автономного округа),2023,,,,,,,,,,,,,,,,,,,,,,,163.0,19.0,,,,,,,,,,
71100000000 - Ханты-Мансийский автономный округ - Югра (Тюменская область),2023,,,,,,,,,,,,,,,,,,,,,,,89.0,33.0,,,,,,,,,,
73000000000 - Ульяновская область,2023,,,,,,,,,,,,,,,,,,,,,,,167.0,43.0,,,,,,,,,,
75000000000 - Челябинская область,2023,,,,,,,,,,,,,,,,,,,,,,,472.0,358.0,,,,,,,,,,
76000000000 - Забайкальский край,2023,,,,,,,,,,,,,,,,,,,,,,,255.0,149.0,,,,,,,,,,
77000000000 - Чукотский автономный округ,2023,,,,,,,,,,,,,,,,,,,,,,,17.0,2.0,,,,,,,,,,
78000000000 - Ярославская область,2023,,,,,,,,,,,,,,,,,,,,,,,199.0,93.0,,,,,,,,,,
79000000000 - Республика Адыгея (Адыгея),2023,,,,,,,,,,,,,,,,,,,,,,,78.0,67.0,,,,,,,,,,
80000000000 - Республика Башкортостан,2023,,,,,,,,,,,,,,,,,,,,,,,826.0,391.0,,,,,,,,,,
81000000000 - Республика Бурятия,2023,,,,,,,,,,,,,,,,,,,,,,,316.0,235.0,,,,,,,,,,
